CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
06759096000152;POSTO TEXACO GATURIANO;FAZENDA GATURIANO,S N;;;DOM EXPEDITO LOPES;PI;Gasolina C Comum;4,579;29/08/2019 10:02
06759096000152;POSTO TEXACO GATURIANO;FAZENDA GATURIANO,S N;;;DOM EXPEDITO LOPES;PI;Diesel S500;3,499;29/08/2019 10:02
06759096000152;POSTO TEXACO GATURIANO;FAZENDA GATURIANO,S N;;;DOM EXPEDITO LOPES;PI;Diesel S10;3,539;29/08/2019 10:02
06790172000273;COOTRATAN;RODOVIA SC 135,S/N;KM    147 9;INTERIOR;TANGARA;SC;Gasolina C Comum;4,389;07/06/2019 17:49
06790172000273;COOTRATAN;RODOVIA SC 135,S/N;KM    147 9;INTERIOR;TANGARA;SC;Diesel S500;3,499;07/06/2019 17:49
06790172000273;COOTRATAN;RODOVIA SC 135,S/N;KM    147 9;INTERIOR;TANGARA;SC;Diesel S10;3,579;07/06/2019 17:49
07135119000110;BIOPOSTO CAMPECHE; SERVIDAO TEODORO EUGENIO DA SILVA,47;;CAMPECHE;FLORIANOPOLIS;SC;Gasolina C Comum;3,899;30/09/2019 13:52
07135119000110;BIOPOSTO CAMPECHE; SERVIDAO TEODORO EUGENIO DA SILVA,47;;CAMPECHE;FLORIANOPOLIS;SC;Etanol;3,299;16/08/2019 10:52
07135119000110;BIOPOSTO CAMPECHE; SERVIDAO TEODORO EUGENIO DA SILVA,47;;CAMPECHE;FLORIANOPOLIS;SC;Diesel S10;3,799;16/08/2019 10:52
07157563000137;POSTO SAMUEL;AVENIDA SANTOS DUMONT,S N;;TIRIRICAL;SAO LUIS;MA;Gasolina C Comum;4,299;02/10/2019 08:29
07157563000137;POSTO SAMUEL;AVENIDA SANTOS DUMONT,S N;;TIRIRICAL;SAO LUIS;MA;Diesel S500;3,77;27/09/2019 12:29
07157563000137;POSTO SAMUEL;AVENIDA SANTOS DUMONT,S N;;TIRIRICAL;SAO LUIS;MA;Diesel S10;3,8;27/09/2019 12:29
07198313000145;CLODOMIRO BATHKE E CIA.LTDA;RUA GUILHERME BATHKE,241;;CENTRO;BALSA NOVA;PR;Gasolina C Comum;4,59;13/10/2018 15:25
07198313000145;CLODOMIRO BATHKE E CIA.LTDA;RUA GUILHERME BATHKE,241;;CENTRO;BALSA NOVA;PR;Etanol;3,23;13/10/2018 15:25
07198313000145;CLODOMIRO BATHKE E CIA.LTDA;RUA GUILHERME BATHKE,241;;CENTRO;BALSA NOVA;PR;Diesel S10;3,62;13/10/2018 15:25
07291814000171;POSTO NOVA QUEIMADOS LTDA;RUA VEREADOR MARINHO  HEMETERIO OLIVEIRA,1201;;CENTRO;QUEIMADOS;RJ;Gasolina C Comum;4,899;27/07/2018 17:29
07291814000171;POSTO NOVA QUEIMADOS LTDA;RUA VEREADOR MARINHO  HEMETERIO OLIVEIRA,1201;;CENTRO;QUEIMADOS;RJ;Etanol;3,299;27/07/2018 17:29
07291814000171;POSTO NOVA QUEIMADOS LTDA;RUA VEREADOR MARINHO  HEMETERIO OLIVEIRA,1201;;CENTRO;QUEIMADOS;RJ;GNV;2,588;27/07/2018 17:29
07291814000171;POSTO NOVA QUEIMADOS LTDA;RUA VEREADOR MARINHO  HEMETERIO OLIVEIRA,1201;;CENTRO;QUEIMADOS;RJ;Diesel S10;3,489;27/07/2018 17:29
07298624000186;POSTO PANTANAL;RUA PROJETADA,S/N;BR 262 LADO DIREITO;PORTAL DO PANTANAL;MIRANDA;MS;Diesel S500;3,68;27/06/2018 10:29
07298624000186;POSTO PANTANAL;RUA PROJETADA,S/N;BR 262 LADO DIREITO;PORTAL DO PANTANAL;MIRANDA;MS;Diesel S10;3,78;27/06/2018 10:29
07482075000103;COLOSSAL BATEL;ALAMEDA DR. CARLOS DE CARVALHO,1830;;BATEL;CURITIBA;PR;Gasolina C Comum;3,999;25/06/2019 15:16
07482075000103;COLOSSAL BATEL;ALAMEDA DR. CARLOS DE CARVALHO,1830;;BATEL;CURITIBA;PR;Etanol;2,899;23/08/2019 14:42
07482075000103;COLOSSAL BATEL;ALAMEDA DR. CARLOS DE CARVALHO,1830;;BATEL;CURITIBA;PR;Diesel S10;3,299;25/06/2019 15:16
07532604000128;DIVISAO COMERCIO DE COMBUSTIVEIS E CONVENIENCIAS LTDA;AVENIDA GETULIO VARGAS,858;;CENTRO;PORTO UNIAO;SC;Gasolina C Comum;4,149;20/08/2019 15:01
07532604000128;DIVISAO COMERCIO DE COMBUSTIVEIS E CONVENIENCIAS LTDA;AVENIDA GETULIO VARGAS,858;;CENTRO;PORTO UNIAO;SC;Diesel S10;3,549;20/08/2019 15:01
07536636000100;POSTO DO JOCA;AVENIDA BRASIL,804;;SIMOES LOPES;PELOTAS;RS;Gasolina C Comum;4,799;24/11/2018 21:06
07536636000100;POSTO DO JOCA;AVENIDA BRASIL,804;;SIMOES LOPES;PELOTAS;RS;Diesel S500;3,859;24/11/2018 21:07
07536636000100;POSTO DO JOCA;AVENIDA BRASIL,804;;SIMOES LOPES;PELOTAS;RS;Diesel S10;3,959;24/11/2018 21:07
07605515000164;POSTO SAO RAIMUNDO;RODOVIA ESTADUAL EDSON QUEIROZ,2474;;MATAQUIRI;CASCAVEL;CE;Gasolina C Comum;4,53;09/08/2019 10:19
07605515000164;POSTO SAO RAIMUNDO;RODOVIA ESTADUAL EDSON QUEIROZ,2474;;MATAQUIRI;CASCAVEL;CE;Etanol;3,69;08/08/2019 10:16
07605515000164;POSTO SAO RAIMUNDO;RODOVIA ESTADUAL EDSON QUEIROZ,2474;;MATAQUIRI;CASCAVEL;CE;Diesel S10;3,69;08/08/2019 10:16
07605515000245;POSTO SÃO RAIMUNDO 2;AVENIDA CHANLECER EDSON QUEIROZ,3376;;RIO NOVO;CASCAVEL;CE;Gasolina C Comum;4,53;09/08/2019 10:16
07605515000245;POSTO SÃO RAIMUNDO 2;AVENIDA CHANLECER EDSON QUEIROZ,3376;;RIO NOVO;CASCAVEL;CE;Etanol;3,69;09/08/2019 10:16
07605515000245;POSTO SÃO RAIMUNDO 2;AVENIDA CHANLECER EDSON QUEIROZ,3376;;RIO NOVO;CASCAVEL;CE;Diesel S10;3,69;09/08/2019 10:16
07605515000326;POSTO SAO RAIMUNDO;RODOVIA CE 040,SN;"KM: 58;";MATAQUIRI;CASCAVEL;CE;Gasolina C Comum;4,53;09/08/2019 10:21
07605515000326;POSTO SAO RAIMUNDO;RODOVIA CE 040,SN;"KM: 58;";MATAQUIRI;CASCAVEL;CE;Etanol;3,69;08/08/2019 10:18
07605515000326;POSTO SAO RAIMUNDO;RODOVIA CE 040,SN;"KM: 58;";MATAQUIRI;CASCAVEL;CE;Diesel S10;3,67;08/08/2019 10:18
07605515000407;POSTO SAO RAIMUNDO PRAIA;RUA FRANCISCA FERREIRA PESSOA,1574;QUADRA02                  LOTE  01;LOT MORADA LESTE;CASCAVEL;CE;Gasolina C Comum;4,49;08/08/2019 12:47
07605515000407;POSTO SAO RAIMUNDO PRAIA;RUA FRANCISCA FERREIRA PESSOA,1574;QUADRA02                  LOTE  01;LOT MORADA LESTE;CASCAVEL;CE;Etanol;3,69;08/08/2019 12:47
07605515000407;POSTO SAO RAIMUNDO PRAIA;RUA FRANCISCA FERREIRA PESSOA,1574;QUADRA02                  LOTE  01;LOT MORADA LESTE;CASCAVEL;CE;Diesel S10;3,69;08/08/2019 12:47
07840472000100;AUTO POSTO SANTA RITA;AVENIDA BAHIA,625;QUADRA234                 LOTE  10 E 11;CENTRO;PONTALINA;GO;Gasolina C Comum;4,859;05/09/2018 19:21
07840472000100;AUTO POSTO SANTA RITA;AVENIDA BAHIA,625;QUADRA234                 LOTE  10 E 11;CENTRO;PONTALINA;GO;Etanol;2,999;18/07/2018 17:26
07840472000100;AUTO POSTO SANTA RITA;AVENIDA BAHIA,625;QUADRA234                 LOTE  10 E 11;CENTRO;PONTALINA;GO;Diesel S500;3,899;05/09/2018 19:21
07840472000100;AUTO POSTO SANTA RITA;AVENIDA BAHIA,625;QUADRA234                 LOTE  10 E 11;CENTRO;PONTALINA;GO;Diesel S10;3,999;05/09/2018 19:21
07928956000105;POSTO ARIQUEMES;AVENIDA CAPITAO SILVIO ESQUINA COM RUA PERIMETRAL LESTE,5303;;SETOR 02;ARIQUEMES;RO;Gasolina C Comum;4,49;17/08/2019 11:03
07928956000105;POSTO ARIQUEMES;AVENIDA CAPITAO SILVIO ESQUINA COM RUA PERIMETRAL LESTE,5303;;SETOR 02;ARIQUEMES;RO;Diesel S500;3,76;17/08/2019 11:03
07928956000105;POSTO ARIQUEMES;AVENIDA CAPITAO SILVIO ESQUINA COM RUA PERIMETRAL LESTE,5303;;SETOR 02;ARIQUEMES;RO;Diesel S10;3,86;17/08/2019 11:03
08355825000130;POSTO DE COMBUSTÍVEIS 214 SUL;SETOR SHC/SUL SQ 214 BLOCO A PAG - LOJA DE CONV. 20,S/N;;ASA SUL;BRASILIA;DF;Gasolina C Comum;4,39;26/06/2018 10:59
08355825000130;POSTO DE COMBUSTÍVEIS 214 SUL;SETOR SHC/SUL SQ 214 BLOCO A PAG - LOJA DE CONV. 20,S/N;;ASA SUL;BRASILIA;DF;Etanol;3,38;26/06/2018 10:59
08355825000130;POSTO DE COMBUSTÍVEIS 214 SUL;SETOR SHC/SUL SQ 214 BLOCO A PAG - LOJA DE CONV. 20,S/N;;ASA SUL;BRASILIA;DF;GNV;1;26/06/2018 10:59
08355825000130;POSTO DE COMBUSTÍVEIS 214 SUL;SETOR SHC/SUL SQ 214 BLOCO A PAG - LOJA DE CONV. 20,S/N;;ASA SUL;BRASILIA;DF;Diesel S500;1;26/06/2018 10:59
08355825000130;POSTO DE COMBUSTÍVEIS 214 SUL;SETOR SHC/SUL SQ 214 BLOCO A PAG - LOJA DE CONV. 20,S/N;;ASA SUL;BRASILIA;DF;Diesel S10;4,799;26/06/2018 10:59
08450385000109;COMERCIO DE PRODUTOS MAIS LTDA;AVENIDA 25 DE AGOSTO,7540;;CIDADE ALTA;ROLIM DE MOURA;RO;Gasolina C Comum;4,74;12/07/2018 19:45
08450385000109;COMERCIO DE PRODUTOS MAIS LTDA;AVENIDA 25 DE AGOSTO,7540;;CIDADE ALTA;ROLIM DE MOURA;RO;Diesel S500;3,61;12/07/2018 19:45
08450385000109;COMERCIO DE PRODUTOS MAIS LTDA;AVENIDA 25 DE AGOSTO,7540;;CIDADE ALTA;ROLIM DE MOURA;RO;Diesel S10;3,69;12/07/2018 19:45
08605136000137;POSTO R7;AVENIDA PARQUE NACIONAL DAS EMAS,S/N;QUADRA 88 LOTES 13/18;BOA VISTA;MINEIROS;GO;Gasolina C Comum;4,6;14/05/2019 09:47
08605136000137;POSTO R7;AVENIDA PARQUE NACIONAL DAS EMAS,S/N;QUADRA 88 LOTES 13/18;BOA VISTA;MINEIROS;GO;Etanol;3;12/06/2019 14:33
08605136000137;POSTO R7;AVENIDA PARQUE NACIONAL DAS EMAS,S/N;QUADRA 88 LOTES 13/18;BOA VISTA;MINEIROS;GO;Diesel S500;3,69;09/07/2019 11:02
08605136000137;POSTO R7;AVENIDA PARQUE NACIONAL DAS EMAS,S/N;QUADRA 88 LOTES 13/18;BOA VISTA;MINEIROS;GO;Diesel S10;3,79;09/07/2019 11:02
08742289000126;POSTO DO MANOELAO;AVENIDA JOAO PESSOA,4954;;CENTRO;ROLIM DE MOURA;RO;Gasolina C Comum;4,74;06/06/2019 10:11
08742289000126;POSTO DO MANOELAO;AVENIDA JOAO PESSOA,4954;;CENTRO;ROLIM DE MOURA;RO;Diesel S500;3,85;06/06/2019 10:11
08742289000126;POSTO DO MANOELAO;AVENIDA JOAO PESSOA,4954;;CENTRO;ROLIM DE MOURA;RO;Diesel S10;3,9;06/06/2019 10:11
08754803000143; ;RODOVIA BR 304,680;;FAZENDA PIATO;MACAIBA;RN;Gasolina C Comum;4,379;12/07/2018 10:31
08754803000143; ;RODOVIA BR 304,680;;FAZENDA PIATO;MACAIBA;RN;Etanol;3,599;12/07/2018 10:31
08754803000143; ;RODOVIA BR 304,680;;FAZENDA PIATO;MACAIBA;RN;Diesel S500;3,379;12/07/2018 10:31
08754803000143; ;RODOVIA BR 304,680;;FAZENDA PIATO;MACAIBA;RN;Diesel S10;3,479;12/07/2018 10:31
08790322000193;POSTO DE GASOLINA E SERVIÇOS BR PAN 2007 LTDA;RUA MAXWELL,477;LT 02 PA 44302;ANDARAÍ;RIO DE JANEIRO;RJ;Gasolina C Comum;4,897;02/01/2019 19:26
08790322000193;POSTO DE GASOLINA E SERVIÇOS BR PAN 2007 LTDA;RUA MAXWELL,477;LT 02 PA 44302;ANDARAÍ;RIO DE JANEIRO;RJ;Etanol;3,597;02/01/2019 19:26
08790322000193;POSTO DE GASOLINA E SERVIÇOS BR PAN 2007 LTDA;RUA MAXWELL,477;LT 02 PA 44302;ANDARAÍ;RIO DE JANEIRO;RJ;Diesel S10;3,697;02/01/2019 19:26
08963963000100;POSTO DE GASOLINA 6 DE MAIO LTDA - ME;AVENIDA DR MANUEL TELES,474;;CENTRO;DUQUE DE CAXIAS;RJ;Gasolina C Comum;4,999;13/07/2018 14:28
08963963000100;POSTO DE GASOLINA 6 DE MAIO LTDA - ME;AVENIDA DR MANUEL TELES,474;;CENTRO;DUQUE DE CAXIAS;RJ;Etanol;3,499;13/07/2018 14:28
08963963000100;POSTO DE GASOLINA 6 DE MAIO LTDA - ME;AVENIDA DR MANUEL TELES,474;;CENTRO;DUQUE DE CAXIAS;RJ;Diesel S10;3,499;13/07/2018 14:28
09069872000180;AUTO POSTO MODELO;AVENIDA I,SN;QUADRA104                 LOTE  03;JARDIM AURENY III;PALMAS;TO;Gasolina C Comum;4,399;19/02/2019 16:29
09069872000180;AUTO POSTO MODELO;AVENIDA I,SN;QUADRA104                 LOTE  03;JARDIM AURENY III;PALMAS;TO;Etanol;3,79;19/02/2019 16:29
09069872000180;AUTO POSTO MODELO;AVENIDA I,SN;QUADRA104                 LOTE  03;JARDIM AURENY III;PALMAS;TO;Diesel S10;3,35;19/02/2019 16:29
09164791000321;POSTO APOLO VI;AVENIDA FLORES DA CUNHA,2097;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;Gasolina C Comum;4,899;24/09/2018 15:51
09164791000321;POSTO APOLO VI;AVENIDA FLORES DA CUNHA,2097;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;Etanol;3,999;24/09/2018 15:51
09164791000321;POSTO APOLO VI;AVENIDA FLORES DA CUNHA,2097;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;Diesel S500;3,599;24/09/2018 15:51
09164791000321;POSTO APOLO VI;AVENIDA FLORES DA CUNHA,2097;;VILA CACHOEIRINHA;CACHOEIRINHA;RS;Diesel S10;3,699;24/09/2018 15:51
09217206000142;AUTO POSTO PREMIUM;AVENIDA JOSE DE BRITO SOARES,1101;;ANHANGUERA;ARAGUAINA;TO;Gasolina C Comum;4,79;21/06/2018 16:57
09217206000142;AUTO POSTO PREMIUM;AVENIDA JOSE DE BRITO SOARES,1101;;ANHANGUERA;ARAGUAINA;TO;Diesel S500;3,399;21/06/2018 16:54
09217206000142;AUTO POSTO PREMIUM;AVENIDA JOSE DE BRITO SOARES,1101;;ANHANGUERA;ARAGUAINA;TO;Diesel S10;3,499;21/06/2018 16:54
09271603000100;AUTO POSTO CAMPANHOLLI;RUA NOVA ZELÂNDIA,2203;;CENTRO;CEREJEIRAS;RO;Gasolina C Comum;4,73;17/04/2019 17:19
09271603000100;AUTO POSTO CAMPANHOLLI;RUA NOVA ZELÂNDIA,2203;;CENTRO;CEREJEIRAS;RO;Etanol;4,37;17/04/2019 17:19
09271603000100;AUTO POSTO CAMPANHOLLI;RUA NOVA ZELÂNDIA,2203;;CENTRO;CEREJEIRAS;RO;Diesel S500;4,01;17/04/2019 17:19
09271603000100;AUTO POSTO CAMPANHOLLI;RUA NOVA ZELÂNDIA,2203;;CENTRO;CEREJEIRAS;RO;Diesel S10;4,09;17/04/2019 17:19
09271603000283;AUTO POSTO CAMPANHOLLI;AVENIDA SENADOR OLAVO PIRES,1740;SALA  A;SETOR 2/DISTRITO DE VITORIA DA;CORUMBIARA;RO;Gasolina C Comum;4,73;17/04/2019 17:31
09271603000283;AUTO POSTO CAMPANHOLLI;AVENIDA SENADOR OLAVO PIRES,1740;SALA  A;SETOR 2/DISTRITO DE VITORIA DA;CORUMBIARA;RO;Diesel S500;4,01;17/04/2019 17:31
09271603000283;AUTO POSTO CAMPANHOLLI;AVENIDA SENADOR OLAVO PIRES,1740;SALA  A;SETOR 2/DISTRITO DE VITORIA DA;CORUMBIARA;RO;Diesel S10;4,09;17/04/2019 17:31
09291970000168;POSTO ARROIO DO SAL;ESTRADA RS 389,587;KM    60;VILA TRES ARROIOS;ARROIO DO SAL;RS;Gasolina C Comum;4,399;14/01/2019 11:27
09291970000168;POSTO ARROIO DO SAL;ESTRADA RS 389,587;KM    60;VILA TRES ARROIOS;ARROIO DO SAL;RS;Diesel S500;3,559;14/01/2019 11:26
09291970000168;POSTO ARROIO DO SAL;ESTRADA RS 389,587;KM    60;VILA TRES ARROIOS;ARROIO DO SAL;RS;Diesel S10;3,629;14/01/2019 11:26
09291970000249;DAIANE T. DE AMARANTE & CIA LTDA - EPP;RODOVIA RS 389 KM 88 ESTRADA DO MAR,S/N;;FAXINAL;TORRES;RS;Gasolina C Comum;4,399;14/01/2019 11:52
09291970000249;DAIANE T. DE AMARANTE & CIA LTDA - EPP;RODOVIA RS 389 KM 88 ESTRADA DO MAR,S/N;;FAXINAL;TORRES;RS;Diesel S500;3,399;14/01/2019 11:52
09291970000249;DAIANE T. DE AMARANTE & CIA LTDA - EPP;RODOVIA RS 389 KM 88 ESTRADA DO MAR,S/N;;FAXINAL;TORRES;RS;Diesel S10;3,499;14/01/2019 11:52
09296287000113;AUTO POSTO MONTANA;AVENIDA GONÇALVES DIAS,3040;;JARDIM AEROPORTO;OURO PRETO DO OESTE;RO;Gasolina C Comum;4,58;28/07/2019 15:25
09296287000113;AUTO POSTO MONTANA;AVENIDA GONÇALVES DIAS,3040;;JARDIM AEROPORTO;OURO PRETO DO OESTE;RO;Etanol;3,95;28/07/2019 15:25
09296287000113;AUTO POSTO MONTANA;AVENIDA GONÇALVES DIAS,3040;;JARDIM AEROPORTO;OURO PRETO DO OESTE;RO;Diesel S500;3,88;09/10/2019 18:39
09299516000153;AUTO POSTO AGNELO;AVENIDA ACM,544;CASA;CENTRO;CICERO DANTAS;BA;Gasolina C Comum;4,45;20/12/2018 11:07
09299516000153;AUTO POSTO AGNELO;AVENIDA ACM,544;CASA;CENTRO;CICERO DANTAS;BA;Etanol;3,3;20/12/2018 11:07
09299516000153;AUTO POSTO AGNELO;AVENIDA ACM,544;CASA;CENTRO;CICERO DANTAS;BA;Diesel S10;3,65;20/12/2018 11:07
09366602000131;AUTO POSTO GIGI;RUA PEDRO RODRIGUES,925;;CENTRO;ITAPORA;MS;Gasolina C Comum;4,569;23/09/2019 08:45
09366602000131;AUTO POSTO GIGI;RUA PEDRO RODRIGUES,925;;CENTRO;ITAPORA;MS;Etanol;3,759;23/09/2019 08:45
09366602000131;AUTO POSTO GIGI;RUA PEDRO RODRIGUES,925;;CENTRO;ITAPORA;MS;Diesel S500;3,969;23/09/2019 08:45
09366602000131;AUTO POSTO GIGI;RUA PEDRO RODRIGUES,925;;CENTRO;ITAPORA;MS;Diesel S10;3,995;23/09/2019 08:45
09374342000146;AUTO POSTO KERUBINS II;AVENIDA WALDOMIRO GARCIA DE OLIVEIRA,35;;PARQUE RESIDENCIAL NOVA CANAA;MOGI GUACU;SP;Gasolina C Comum;4,499;22/04/2019 16:14
09374342000146;AUTO POSTO KERUBINS II;AVENIDA WALDOMIRO GARCIA DE OLIVEIRA,35;;PARQUE RESIDENCIAL NOVA CANAA;MOGI GUACU;SP;Etanol;3,299;22/04/2019 16:14
09374342000146;AUTO POSTO KERUBINS II;AVENIDA WALDOMIRO GARCIA DE OLIVEIRA,35;;PARQUE RESIDENCIAL NOVA CANAA;MOGI GUACU;SP;Diesel S500;3,699;22/04/2019 16:14
09374342000146;AUTO POSTO KERUBINS II;AVENIDA WALDOMIRO GARCIA DE OLIVEIRA,35;;PARQUE RESIDENCIAL NOVA CANAA;MOGI GUACU;SP;Diesel S10;3,799;22/04/2019 16:14
09573325000138;RR AUTO SERVICE LTDA;AVENIDA RUY RODRIGUES,3871;;PARQUE UNIVERSITARIO DE VIRACOPOS;CAMPINAS;SP;Gasolina C Comum;4,099;23/01/2019 15:06
09573325000138;RR AUTO SERVICE LTDA;AVENIDA RUY RODRIGUES,3871;;PARQUE UNIVERSITARIO DE VIRACOPOS;CAMPINAS;SP;Etanol;2,799;04/12/2018 11:00
09573325000138;RR AUTO SERVICE LTDA;AVENIDA RUY RODRIGUES,3871;;PARQUE UNIVERSITARIO DE VIRACOPOS;CAMPINAS;SP;Diesel S500;3,599;23/01/2019 15:06
09573325000138;RR AUTO SERVICE LTDA;AVENIDA RUY RODRIGUES,3871;;PARQUE UNIVERSITARIO DE VIRACOPOS;CAMPINAS;SP;Diesel S10;3,699;23/01/2019 15:06
09612655000195;POSTO SATURNO;DISTRITO DE SERROTA,S/Nº;;ZONA RURAL;SENADOR SA;CE;Gasolina C Comum;4,87;03/08/2018 13:26
